EWRB_ID,City,Postal_Code,PrimPropTypCalc,PrimPropTypSelf,Largest_PropTyp,All_Prop_Types,Thrd_Party_Cert,WN_Sit_Elc_Int1,WN_Sit_Elc_Int2,WN_Sit_Gas_Int1,WN_Sit_Gas_Int2,WN_Sit_Gas_Int3,All_Water_Int1,All_Water_Int2,Ind_Water_Int1,Ind_Water_Int2,Site_EUI1,Site_EUI2,Source_EUI1,Source_EUI2,WN_Site_EUI1,WN_Site_EUI2,WN_Source_EUI1,WN_Source_EUI2,GHG_Emiss_Int1,GHG_Emiss_Int2,Ener_Star_Score,Ener_Star_Certs,Data_Qual_Check,Data_Qual_Date
102799,Pickering,L1V,Strip Mall,Strip Mall,Strip Mall,"Strip Mall,Office,Parking ",,0.616126271684544,15.9,0.4541509373674752,12.17562834765349,1.131152815013405,,,,,1.0776397242482496,27.81,1.6263408567673152,41.97,1.1187148090272192,28.87,1.6616034295492608,42.88,28.847281763008,2.68,0.0,,No,
102818,Pickering,L1W,Other,Mixed Use Property,Other,Other ,,0.403000831793664,10.4,0.3406132030256064,9.131721260740118,0.8483646112600536,0.2546634531173108,0.0236590074573191,0.0,0.0,0.744001535619072,19.2,1.0993397690371391,28.37,0.7994141499907008,20.63,1.1582398906069824,29.89,21.097265766976,1.96,0.0,,Yes,2025-06-25
�103027�,Ajax,L1S,Other,Other,Other,Other ,,0.124000255936512,3.2,0.567688671709344,15.219535434566865,1.413941018766756,0.0162984609995078,0.0015141764772684,0.0,0.0,0.6494513404674817,16.76,0.78468911959824,20.25,0.7428390332196673,19.17,0.8823393211482431,22.77,27.663251541392,2.57,0.0,,Yes,2025-06-23
104728,Toronto,M6K,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing ,,0.209250431892864,5.4,1.4759905464442944,39.57079212987384,3.676246648793565,1.8001650173956467,0.1672407919142976,0.0,0.0,1.4546780024552062,37.54,1.7046160183272383,43.99,1.6480409015562048,42.53,1.9092164406224832,49.27,64.691105744656,6.01,0.0,,Yes,2025-06-28
105247,Toronto,M5C,Office,Office,Office,"Office,Parking,Other ",,0.604501247690496,15.6,,,,0.8361110492747549,0.0776772532838702,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,Yes,2025-04-24
105586,Toronto,M4Y,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing ,,0.27125055986112,7.0,0.4541509373674752,12.17562834765349,1.131152815013405,1.3939258769829124,0.1294999432183821,0.0,0.0,0.6358888124744255,16.41,0.8846643259470528,22.83,0.6823889084506175,17.61,0.9334894267220544,24.09,20.98962665592,1.95,0.0,,No,
105653,Toronto,M5A,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing ,,0.0,0.0,0.0,0.0,0.0,3.887997871432608,0.3612067986523829,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No,
107343,North York,M3C,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing ,,0.220875455886912,5.7,0.3406132030256064,9.131721260740118,0.8483646112600536,0.8886735859981678,0.0825604724230609,,,0.5316510973277951,13.72,0.7281140028272064,18.79,0.5859012093000191,15.12,0.7928266363940736,20.46,18.191009768464,1.69,0.0,,Yes,2025-06-24
108045,Toronto,M8W,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant ,,0.840876735569472,21.7,1.0218396090768191,27.39516378222035,2.545093833780161,0.9167884312223188,0.0851724268463489,,,1.6492034039556096,42.56,2.3939799411742846,61.78,1.81156623907248,46.75,2.5668052978857983,66.24,49.083434641536,4.56,0.0,,No,
108378�,Toronto,M9C,Other,Other,Other,Other ,,1.209002495380992,31.2,1.0218396090768191,27.39516378222035,2.545093833780161,0.5427387512836128,0.0504220766930385,0.0,0.0,2.003379134974272,51.7,3.0550563056358144,78.84,2.1909295220782465,56.54,3.2538442159340355,83.97,51.989690640048,4.83,0.0,,Yes,2025-06-19
108727�,Toronto,M9W,Other,Other,Other,Other ,,2.995381182466368,77.3,1.0218396090768191,27.39516378222035,2.545093833780161,0.1381294569708293,0.0128326456448499,0.0,0.0,3.770382782069568,97.3,6.30192550717342,162.63,3.9807957163618366,102.73,6.52473846705934,168.38,68.88903107584001,6.4,0.0,,Yes,2025-06-19
