EWRB_ID,City,Postal_Code,PrimPropTypCalc,PrimPropTypSelf,Largest_PropTyp,All_Prop_Types,Thrd_Party_Cert,WN_Sit_Elc_Int1,WN_Sit_Elc_Int2,WN_Sit_Gas_Int1,WN_Sit_Gas_Int2,WN_Sit_Gas_Int3,All_Water_Int1,All_Water_Int2,Ind_Water_Int1,Ind_Water_Int2,Site_EUI1,Site_EUI2,Source_EUI1,Source_EUI2,WN_Site_EUI1,WN_Site_EUI2,WN_Source_EUI1,WN_Source_EUI2,GHG_Emiss_Int1,GHG_Emiss_Int2,Ener_Star_Score,Ener_Star_Certs,Data_Qual_Check,Data_Qual_Date
100189,Ottawa,K1M,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing,Parking ",,,,0.9083018747349504,24.35125669530698,2.26230563002681,,,,,,,,,,,,,0.0,0.0,,,No,
100259,Ottawa,K1N,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing,Heated Swimming Pool ",,,,0.6812264060512128,18.26344252148024,1.6967292225201072,1.9431840126663285,0.180527690502328,,,,,,,,,,,0.0,0.0,,,No,
100637,Ottawa,K1Y,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing ,,,,0.7947641403930816,21.307349608393608,1.9795174262734585,0.9669061987958056,0.0898285195139493,,,,,,,,,,,0.0,0.0,,,No,
100761,Ottawa,K2B,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing,Parking ",,,,,,,,,,,,,,,,,,,0.0,0.0,,,No,
100780,Ottawa,K2B,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing ,,,,,,,,,,,,,,,,,,,0.0,0.0,,,No,
100859,Ottawa,K1G,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing,Parking ",,,,,,,2.1424326983853126,0.1990384979369345,,,,,,,,,,,0.0,0.0,,,No,
100968,Ottawa,K1B,Other,Other,Other,Other ,,,,0.1135377343418688,3.0439070869133724,0.2827882037533512,0.0,0.0,,,,,,,,,,,0.0,0.0,,,No,
101007,Ottawa,K1V,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing ,,,,,,,,,,,,,,,,,,,0.0,0.0,,,No,
101110,Ottawa,K1V,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing,Parking,Heated Swimming Pool ",,,,,,,,,,,,,,,,,,,0.0,0.0,,,Yes,2025-06-16
101169,Ottawa,K2B,Enclosed Mall,Enclosed Mall,Enclosed Mall,"Parking,Enclosed Mall ",,,,,,,,,,,,,,,,,,,0.0,0.0,,,No,
